;Neighborhood;Densidad_Poblacion;bar;bus;cafe;clothes_shop;dog_parks;gym_fitness;hospitals;luxury_shops;nightclub;parks;private_school;pub;public_transport;restaurants;school;supermarkets;Crimenes_Barrio;Avg_price;security
64;PACOIMA NC;0.16632754534583766;0.0;0.24839400428265526;0.015151515151515152;0.0;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.6666666666666666;0.0;0.030303030303030304;0.030612244897959183;0.5142857142857142;0.2727272727272727;0.18241386270825896;0.06921881346353778;0.817586137291741
65;PALMS NC;0.5314593756069362;0.12121212121212122;0.11563169164882228;0.16666666666666669;0.01282051282051282;0.0;0.16666666666666666;0.0;0.0;0.1;0.047619047619047616;0.3333333333333333;0.1;0.06060606060606061;0.2704081632653061;0.14285714285714285;0.18181818181818182;0.06855270717202615;0.28990367024077035;0.9314472928279739
66;PANORAMA CITY NC;0.3655039338051552;0.0;0.18843683083511778;0.06060606060606061;0.038461538461538464;0.14285714285714285;0.1388888888888889;0.4;0.0;0.1;0.23809523809523808;0.3333333333333333;0.0;0.0;0.12755102040816327;0.5428571428571428;0.36363636363636365;0.18711861248699596;0.06355577198719206;0.8128813875130041
67;PARK MESA HEIGHTS NC;0.24370252673217999;0.0;0.20556745182012848;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047619047619047616;0.3333333333333333;0.0;0.030303030303030304;0.00510204081632653;0.3142857142857143;0.0;0.15918513112743196;0.0900914840808926;0.8408148688725681
68;PICO UNION NC;0.45660627577096274;0.06060606060606061;0.2505353319057816;0.015151515151515152;0.02564102564102564;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.3333333333333333;0.0;0.0;0.09183673469387754;0.22857142857142854;0.2727272727272727;0.16267875720075153;0.06999365678859351;0.8373212427992485
69;PORTER RANCH NC;0.06636430813636766;0.0;0.0;0.045454545454545456;0.02564102564102564;0.0;0.027777777777777776;0.2;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.04591836734693877;0.02857142857142857;0.36363636363636365;0.029936493641600545;0.31906274236524723;0.9700635063583994
70;RAMPART VILLAGE NC;0.6213757558941518;0.0;0.09207708779443255;0.045454545454545456;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.07142857142857142;0.3333333333333333;0.0;0.0;0.04591836734693877;0.19999999999999998;0.4545454545454546;0.09990217846994706;0.032624844522441604;0.9000978215300529
71;RESEDA NC;0.2236018799933074;0.06060606060606061;0.28051391862955033;0.09090909090909091;0.038461538461538464;0.0;0.027777777777777776;0.4;0.0;0.0;0.11904761904761904;0.3333333333333333;0.0;0.0;0.20918367346938774;0.6;0.5454545454545454;0.1995869757619987;0.10617860992996761;0.8004130242380013
72;SHERMAN OAKS NC;0.14698811261724448;0.06060606060606061;0.26552462526766596;0.10606060606060606;0.08974358974358974;0.14285714285714285;0.19444444444444442;0.4;0.058823529411764705;0.0;0.14285714285714285;0.0;0.0;0.030303030303030304;0.25510204081632654;0.5142857142857142;0.9090909090909092;0.23599832305948482;0.3444591582437013;0.7640016769405151
73;SILVER LAKE NC;0.22504856235932344;0.2727272727272727;0.11349036402569594;0.25757575757575757;0.0641025641025641;0.14285714285714285;0.25;0.0;0.11764705882352941;0.1;0.14285714285714285;0.0;0.2;0.0;0.3010204081632653;0.22857142857142854;0.36363636363636365;0.11796034346226109;0.39435412551550675;0.8820396565377389
74;SOUTH ROBERTSON NC;0.2602682891324341;0.0;0.1498929336188437;0.12121212121212122;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.09523809523809523;0.0;0.1;0.0;0.18367346938775508;0.22857142857142854;0.4545454545454546;0.13587876341164232;0.21978339446597597;0.8641212365883577
75;SOUTH CENTRAL NC;0.33248713042435424;0.0;0.38329764453961457;0.0;0.0;0.14285714285714285;0.05555555555555555;0.0;0.0;0.0;0.07142857142857142;0.3333333333333333;0.0;0.12121212121212122;0.01020408163265306;0.34285714285714286;0.09090909090909091;0.22455475676598918;0.21978339446597597;0.7754452432340109
76;STUDIO CITY NC;0.10830524985913347;0.12121212121212122;0.18629550321199145;0.16666666666666669;0.0641025641025641;0.0;0.08333333333333333;0.0;0.0;0.0;0.19047619047619047;0.3333333333333333;0.0;0.12121212121212122;0.22959183673469385;0.2571428571428571;0.36363636363636365;0.13191932052854682;0.453421593612668;0.8680806794714532
77;SUN VALLEY AREA NC;0.09756378808484108;0.030303030303030304;0.2398286937901499;0.015151515151515152;0.0;0.0;0.027777777777777776;0.2;0.0;0.0;0.19047619047619047;0.0;0.0;0.030303030303030304;0.02551020408163265;0.2857142857142857;0.09090909090909091;0.1458472431408475;0.12172358024782046;0.8541527568591525
78;SUNLAND-TUJUNGA NC;0.04979426673846225;0.0;0.09421841541755889;0.030303030303030304;0.02564102564102564;0.0;0.08333333333333333;0.0;0.0;0.0;0.21428571428571427;0.0;0.1;0.0;0.08673469387755102;0.34285714285714286;0.4545454545454546;0.08018260018943217;0.1593915807103979;0.9198173998105679
79;SYLMAR NC;0.11526055666908679;0.0;0.23554603854389722;0.06060606060606061;0.0;0.0;0.08333333333333333;0.8;0.0;0.0;0.2857142857142857;0.6666666666666666;0.0;0.06060606060606061;0.1020408163265306;0.39999999999999997;0.18181818181818182;0.1672127074825707;0.10941498016882376;0.8327872925174293
80;TARZANA NC;0.07201684218822836;0.12121212121212122;0.10920770877944326;0.12121212121212122;0.038461538461538464;0.0;0.1111111111111111;0.4;0.11764705882352941;0.1;0.09523809523809523;0.0;0.0;0.06060606060606061;0.2193877551020408;0.22857142857142854;0.4545454545454546;0.11966833843143954;0.27501360762021954;0.8803316615685605
81;UNITED NEIGHBORHOODS NC;0.359635617010401;0.0;0.20770877944325483;0.015151515151515152;0.0;0.0;0.027777777777777776;0.0;0.0;0.0;0.14285714285714285;0.3333333333333333;0.0;0.09090909090909091;0.061224489795918366;0.34285714285714286;0.18181818181818182;0.1867925407201528;0.21978339446597597;0.8132074592798472
82;VAN NUYS NC;0.29506577717626514;0.030303030303030304;0.3790149892933619;0.15151515151515152;0.01282051282051282;0.0;0.16666666666666666;0.8;0.058823529411764705;0.0;0.19047619047619047;0.0;0.0;0.09090909090909091;0.11224489795918366;0.34285714285714286;0.4545454545454546;0.3268791826467711;0.11335830506925962;0.6731208173532288
83;VENICE NC;0.17890146987557448;0.2727272727272727;0.19057815845824413;0.33333333333333337;0.6282051282051282;0.14285714285714285;0.41666666666666663;0.0;0.29411764705882354;0.0;0.2857142857142857;0.0;0.30000000000000004;0.0;0.35204081632653056;0.2857142857142857;0.4545454545454546;0.2196170985823642;0.5848052195745402;0.7803829014176358
